BRANCH,FAMILY,SUB FAMILY,BEER NAME,BREWERY,ABV,IBU,REGION
ALE,AMERICAN ALE,AMERICAN AMBER ALE,Amber,Full Sail,5.50%,31,Oregon
ALE,AMERICAN ALE,AMERICAN AMBER ALE,Ruedrich's Red Seal Ale,North Coast,5.50%,42,California
ALE,AMERICAN ALE,AMERICAN AMBER ALE,Bell's Amber Ale,Bell's,5.80%,32,Michigan
ALE,AMERICAN ALE,AMERICAN BROWN ALE,Indian Brown Ale,Dogfish Head,7.20%,50,Delaware
ALE,AMERICAN ALE,AMERICAN BROWN ALE,Brownstone,Sixpoint,6%,45,New York
ALE,AMERICAN ALE,AMERICAN BROWN ALE,Old Brown Dog,Smuttynose,6.70%,18,New Hampshire
ALE,PALE ALE,AMERICAN PALE ALE,MO,Maine Beer Company,6%,43,Maine
ALE,PALE ALE,AMERICAN PALE ALE,Mirror Pond Pale Ale,Deschutes,5%,40,Oregon
ALE,PALE ALE,AMERICAN PALE ALE,420,Sweetwater,5.40%,50,Georgia
ALE,ENGLISH BROWN ALE,MILD,Black Cat,Moorhouse,3.40%,17,England
ALE,ENGLISH BROWN ALE,MILD,Mild Winter,Goose Island,5.60%,28,Illinois
ALE,ENGLISH BROWN ALE,MILD,Brawler Pugilist Style Ale,Yards,4.20%,12,Pennsylvania
ALE,ENGLISH BROWN ALE,SOUTHERN ENGLISH BROWN,Norfolk Nog,Woodforde,4.20%,18,England
ALE,ENGLISH BROWN ALE,SOUTHERN ENGLISH BROWN,Nut Brown Ale,Harvey & Son,3%,10,England
ALE,ENGLISH BROWN ALE,SOUTHERN ENGLISH BROWN,Mann's Brown Ale,Thomas Hardy Burtonwood,2.80%,5,England
ALE,ENGLISH BROWN ALE,NORTHERN ENGLISH BROWN,Georgia Brown,Sweetwater,5.10%,24,Georgia
ALE,ENGLISH BROWN ALE,NORTHERN ENGLISH BROWN,Rugged Trail Nut Brown Ale,Troeegs,5%,33,Pennsylvania
ALE,ENGLISH BROWN ALE,NORTHERN ENGLISH BROWN,Nut Brown Ale,Samuel Smith,5%,31,England
ALE,ALE,PORTER,London Porter,Fuller Smith & Porter,5.40%,33,England
ALE,ALE,PORTER,Leviathan,Harpoon,9.50%,38,Massachusetts
ALE,ALE,PORTER,Black Butte Porter,Deschutes,5.20%,30,Oregon
ALE,PORTER,BROWN PORTER,Entire Butt English Porter,Salopian,4.80%,25,England
ALE,PORTER,BROWN PORTER,Fuller's London Porter,Fuller Smith & Porter,5.40%,33,England
ALE,PORTER,BROWN PORTER,Old Growler,Nethergate,5.50%,27,England
ALE,PORTER,ROBUST PORTER,Bully! Porter,Boulevard,6%,49,Missouri
ALE,PORTER,ROBUST PORTER,Black Butte Porter,Deschutes,5.20%,30,Oregon
ALE,PORTER,ROBUST PORTER,Robust Porter,Smuttynose,5.70%,43,New Hampshire
ALE,PORTER,BALTIC PORTER,Leviathan,Harpoon,9.50%,38,Massachusetts
ALE,PORTER,BALTIC PORTER,Red Thunder,Victory,8.50%,30,Pennsylvania
ALE,PORTER,BALTIC PORTER,Baltika #6,Baltika,7%,25,Russia
ALE,STOUT,STOUT,Old Rasputin,North Coast,9%,75,California
ALE,STOUT,STOUT,Left Hand Milk Stout,Left Hand,6%,25,Colorado
ALE,STOUT,STOUT,Old #38,North Coast,5.60%,53,California
ALE,STOUT,DRY STOUT,Dark Starr Stout,Starr Hill,4.20%,35,Virginia
ALE,STOUT,DRY STOUT,Cadillac Mountain Stout,Bar Harbor,6.70%,36,Maine
ALE,STOUT,DRY STOUT,Old #38,North Coast,5.60%,53,California
ALE,STOUT,SWEET STOUT,Jefferson Stout,Lazy Magnolia,4.65%,22,Mississippi
ALE,STOUT,SWEET STOUT,Duck-Rabbit Milk Stout,Duck-Rabbit,5.70%,55,North Carolina
ALE,STOUT,SWEET STOUT,Left Hand Milk Stout,Left Hand,6%,25,Colorado
ALE,STOUT,OATMEAL STOUT,Samuel Smith's Oatmeal Stout,Samuel Smith,5%,32,England
ALE,STOUT,OATMEAL STOUT,Barney Flats Oatmeal Stout,Anderson Valley,5.80%,13,California
ALE,STOUT,OATMEAL STOUT,The Poet,New Holland,5.20%,40,Michigan
ALE,STOUT,FOREIGN EXTRA,Lion Stout,Ceylon/Lion,8.80%,26,Sri Lanka
ALE,STOUT,FOREIGN EXTRA,Coopers Best Extra Stout,Coopers,6.30%,41,Australia
ALE,STOUT,FOREIGN EXTRA,Guinness Foreign Extra Stout,Guinness,7.50%,40,Ireland
ALE,STOUT,AMERICAN STOUT,Kalamazoo Stout,Bell's,6%,51,Michigan
ALE,STOUT,AMERICAN STOUT,Diesel,Sixpoint,6.30%,69,New York
ALE,STOUT,AMERICAN STOUT,Chocolate Stout,Rogue Ales,6%,69,Oregon
