BRANCH,FAMILY,SUB FAMILY,BEER NAME,BREWERY,ABV,IBU,REGION
ALE,INDIA PALE ALE,BLACK IPA,Beer Hop Breakfast,Mikkeller,7.50%,66,Denmark
ALE,INDIA PALE ALE,BLACK IPA,Sublimely Self-Righteous,Stone,8.70%,90,California
ALE,INDIA PALE ALE,BLACK IPA,Black Betty,Beavertown,7.40%,60,England
ALE,AMERICAN ALE,PUMPKIN BEER,Pumking,Southern Tier,8.60%,25,New York
ALE,AMERICAN ALE,PUMPKIN BEER,Punkin Ale,Dogfish Head,7%,28,Delaware
ALE,AMERICAN ALE,PUMPKIN BEER,Imperial Pumpkin Ale,Weyerbacher,8%,40,Pennsylvania
ALE,AMERICAN ALE,RYE ALE,Red's Rye IPA,Founders,6.60%,70,Michigan
ALE,AMERICAN ALE,RYE ALE,Righteous Ale,Sixpoint,6.50%,57,New York
ALE,AMERICAN ALE,RYE ALE,Full Moon Pale Rye Ale,Real Ale,5.60%,42,Texas
ALE,STRONG ALE,WINTER WARMER,Christmas Ale,Great Lakes,7.50%,30,Ohio
ALE,STRONG ALE,WINTER WARMER,Harpoon Winter Warmer,Harpoon,5.90%,22,Massachusetts
ALE,STRONG ALE,WINTER WARMER,Fireside Chat,21st Amendment,7.90%,45,California
